"gene","avg_log2FC","p_val_adj"
"ADD2",2.18116244154309,3.74918753452307e-11
"CACNA2D1",2.18056625587558,8.61874518577757e-26
"PARD3",2.16689174834874,7.73254777603499e-08
"FRRS1L",2.1626518942361,4.32110488406842e-13
"PDE7B",2.15379060408568,2.14108399675039e-10
"REEP2",2.15319858547196,3.0920697007495e-12
"GRIK5",2.15162335929368,2.28862723399051e-09
"ENOX1",2.14883495604337,1.97888684230132e-25
"SV2B",2.14702409179962,4.33400469010545e-11
"RAB3C",2.14590882660228,1.43121685863079e-11
"AFF3",2.14049862114687,1.02833790991668e-23
"LRRC4C",2.12002349346704,1.09404228080903e-45
"CPNE4",2.11496547611292,3.92108373680916e-08
"PANTR1",2.11372376737931,1.5410865637211e-11
"PPP1R9A",2.11031170506713,4.10277591806074e-13
"DYNC1I1",2.10573444885584,3.20052875084406e-22
"GRIN1",2.10298514302867,1.15235049003367e-58
"PPFIBP1",2.09226773992162,3.22964852421495e-08
"MAPT",2.08356933416897,5.33593145277372e-16
"MAP2",2.08228257213263,2.15170966013631e-36
"LIMCH1",2.07442740487304,4.52732135483965e-34
"YJEFN3",2.07436999458112,6.1449804792362e-11
"BRINP2",2.06323282080929,2.19825221060703e-10
"EML6",2.06177448795653,2.78130630774976e-11
"TMEFF2",2.04969911297985,1.28937127393139e-13
"ROBO1",2.03906607505451,1.4970116224239e-20
"CEP126",2.03309412746507,8.65039939878957e-12
"PPFIA3",2.03040176711779,2.9119743186523e-09
"CAMKV",2.02148122573386,8.48097501748767e-10
"FAM171A1",2.02094745421016,1.64896707401408e-10
"DGKG",2.01930656213979,1.0350389129703e-09
"KCTD1",2.0176544698662,4.53094147919034e-11
"SCN8A",2.00845444732813,5.08353590705792e-13
"PTPRK",2.00429676128963,6.97660882515602e-21
"FZD3",1.98659326290397,1.95364157342178e-13
"RAPGEF5",1.98191779372425,7.89468997657507e-18
"PIGQ",1.97965163718456,5.04845474839541e-09
"ENSG00000286446",1.97600827335413,5.16144522330987e-14
"PDE4D",1.9722799585156,1.42271164128435e-54
"TAFA2",1.97160890897616,6.17367377726611e-22
"MAST1",1.968074728017,9.84429063009402e-08
"MLLT3",1.96495819148,6.51946396692111e-17
"PTPRN",1.96239746226705,1.14549159408437e-13
"NPTX1",1.95786078739027,2.85972741862978e-11
"SRCIN1",1.95228157889662,4.57911545774909e-06
"SEZ6L",1.95016543455714,8.09388283338928e-11
"AK5",1.94890620949102,7.22096517217048e-15
"UNC79",1.94871928254198,9.86286955329682e-12
"ENSG00000288075",1.93857619045594,1.33532512980266e-06
"RASGRF2",1.93789491670175,6.89329311530592e-10
"KIF5C",1.93006348602912,5.84066704693496e-14
"NCALD",1.92805725615247,3.66018911496697e-15
"KHDRBS2",1.92661460579852,4.54935581881234e-35
"STXBP5-AS1",1.9220640328758,1.20066586470426e-07
"MPDZ",1.91464728429206,1.48695965894893e-07
"GFOD1",1.89730257220604,1.64617693133415e-09
"CAP2",1.8808927183361,1.12447319597154e-11
"PCLO",1.87987451641796,5.35784695386869e-34
"ZNF483",1.87721536303581,7.64166408946467e-10
"CDH20",1.87124885749307,1.1656932818995e-09
"SYNE1",1.86844929108343,5.92318066503602e-38
"PCDH9",1.86722548238039,1.34779111726881e-119
"SSX2IP",1.85520970524858,4.79479782183909e-08
"SCAMP5",1.8537654329541,2.43066333570694e-12
"MAPK11",1.84892367004915,1.1602506432844e-10
"DLGAP2",1.83092914717856,8.19631669514594e-34
"DANT2",1.82749910118761,2.19115021221567e-14
"PDZD4",1.82706965736596,1.49071095521587e-12
"WASF1",1.82643733468738,9.70421861182819e-06
"SLC1A2",1.82619786733051,3.31225896629567e-15
"RCAN2",1.82106813788987,6.05313193081285e-12
"NCAM2",1.82084890952513,5.33954649215757e-49
